,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
647,19071,01,08,19,24,29,30,04
648,19070,06,15,18,19,24,32,09
649,19069,06,11,16,19,21,25,01
650,19068,03,14,20,24,26,33,10
651,19067,04,06,08,11,30,33,11
652,19066,01,14,17,20,22,32,04
653,19065,06,09,11,15,20,26,10
654,19064,12,20,24,25,30,33,12
655,19063,01,14,19,22,29,31,16
656,19062,07,13,16,23,26,30,01
657,19061,03,17,19,24,27,31,12
658,19060,03,04,14,20,23,27,01
659,19059,04,05,07,09,16,18,06
660,19058,07,08,12,21,23,27,12
661,19057,04,05,06,08,13,18,16
662,19056,13,14,17,19,21,29,01
663,19055,01,06,11,15,19,31,10
664,19054,07,10,11,15,24,26,11
665,19053,04,16,22,25,29,31,08
666,19052,03,06,09,13,16,19,16
667,19051,08,09,10,13,15,28,09
668,19050,04,06,10,11,21,23,02
669,19049,03,10,13,22,23,28,15
670,19048,03,07,10,12,18,29,10
671,19047,03,11,18,25,30,33,14
672,19046,02,12,16,22,25,32,06
673,19045,01,06,17,19,27,31,14
674,19044,06,14,16,17,23,29,07
675,19043,01,06,12,13,24,32,13
676,19042,15,17,19,22,25,26,04
677,19041,02,09,13,23,24,26,16
678,19040,05,06,09,18,23,31,11
679,19039,06,07,11,14,27,32,08
680,19038,09,12,21,27,29,30,05
681,19037,01,07,12,14,18,25,10
682,19036,02,10,13,16,23,32,08
683,19035,01,05,07,09,10,20,16
684,19034,09,11,15,22,24,26,03
685,19033,09,15,19,21,23,29,15
686,19032,04,08,09,13,28,33,04
687,19031,03,13,15,18,21,33,16
688,19030,04,05,07,10,12,22,16
689,19029,08,11,17,23,32,33,10
690,19028,04,19,22,26,29,30,11
691,19027,02,06,08,10,11,17,13
692,19026,03,13,15,19,20,27,14
693,19025,15,16,21,27,30,33,04
694,19024,01,08,23,25,28,29,10
695,19023,01,10,14,15,18,31,13
696,19022,03,07,11,21,30,33,07
697,19021,02,05,07,08,20,27,04
698,19020,02,12,13,23,27,28,12
699,19019,03,11,17,18,24,25,06
700,19018,04,11,18,19,26,32,04
701,19017,04,05,24,28,30,33,09
702,19016,05,07,09,11,19,25,05
703,19015,11,15,16,20,24,31,04
704,19014,01,02,03,14,19,33,03
705,19013,05,07,14,16,18,21,01
706,19012,07,10,21,23,31,33,14
707,19011,10,13,19,21,24,30,07
708,19010,02,04,05,08,11,30,02
709,19009,01,07,10,22,31,32,15
710,19008,02,06,09,13,28,32,12
711,19007,06,10,14,15,19,23,15
712,19006,01,05,10,19,26,28,12
713,19005,21,22,26,28,31,32,07
714,19004,08,12,16,19,26,32,03
715,19003,13,17,20,21,22,27,01
716,19002,04,05,06,08,09,18,11
717,19001,06,10,13,15,32,33,15
718,18153,01,07,17,23,25,31,11
719,18152,04,14,16,23,28,29,03
720,18151,05,15,19,25,26,29,15
721,18150,06,08,15,19,20,31,05
722,18149,01,07,08,10,12,24,01
723,18148,03,06,18,19,21,31,01
724,18147,03,15,17,23,27,30,11
725,18146,02,10,11,17,18,29,16
